"","Geographic.Area","Sex","X2016_Proportion of health care facilities with basic health care waste management services","X2016_Proportion of health care facilities with limited health care waste management services","X2016_Proportion of health care facilities with no health care waste management service","X2016_Proportion of health care facilities with basic water services","X2016_Proportion of health care facilities with limited water services","X2016_Proportion of health care facilities with no water service","X2016_Proportion of schools with basic drinking water services","X2016_Proportion of schools with limited drinking water services","X2016_Proportion of schools with no drinking water service","X2017_Proportion of population using at least basic drinking water services","X2017_Proportion of population using improved drinking water sources free of faecal and priority chemical contamination","X2017_Proportion of population using basic drinking water services","X2017_Proportion of the population using of improved drinking water sources free of faecal and priority chemical contamination","X2017_Proportion of population using improved drinking water sources","X2017_Proportion of population using limited drinking water services","X2017_Proportion of population using non-piped improved drinking water sources","X2017_Proportion of population using improved drinking water sources located on premises","X2017_Proportion of population using piped drinking water sources","X2017_Proportion of population using safely managed drinking water services","X2017_Proportion of population using surface water","X2017_Proportion of population using unimproved drinking water sources","X2017_Proportion of population with a handwashing facility with soap and water available at home","X2017_Proportion of population with a limited handwashing facility","X2017_Proportion of population with no handwashing facility at home","X2017_Proportion of population using at least basic sanitation services","X2017_Proportion of population using basic sanitation services","X2017_Proportion of population using on-site sanitation facilities with human waste disposed in situ","X2017_Proportion of population using of on-site sanitation facilities with human waste treated off-site","X2017_Proportion of population using improved sanitation facilities"
"12","Andorra","Total",100,0,0,100,0,0,100,0,0,NA,100,9.3599997,90.639999,100,0,0,100,100,90.639999,0,3.717304e-06,NA,NA,NA,NA,0,0,0,100
"13","Zambia","Total",40.2817,NA,NA,39.651402,45.186764,15.161836,79,NA,NA,59.963757,NA,NA,NA,67.467873,7.5041184,35.605114,23.54097,31.862761,NA,8.6391258,23.893,13.93808,28.081049,57.980869,26.370119,NA,NA,NA,44.056553
"14","Lebanon","Total",63.799999,30.799999,5.4000001,61.400002,2.0999999,36.5,59.400002,0.75,39.849998,NA,90.958527,44.900002,47.700001,100,7.4000001,13.066271,89.599998,86.933731,47.700001,0,0,NA,NA,NA,NA,76.714577,8.8198547,1.2780851,99.97628
"15","Guinea-Bissau","Total",0,NA,NA,NA,NA,7.5999999,NA,NA,NA,66.634415,NA,NA,NA,73.526894,6.8924761,NA,30.070667,NA,NA,0.48042643,25.992683,6.4029369,4.7188272,88.878235,20.538004,NA,NA,NA,36.24081
"16","Paraguay","Total",6.1538,NA,NA,84.615402,8.4614496,6.9231501,NA,NA,3.4342108,NA,86.280121,35.71563,63.894569,100,0.3897987,6.3784404,95.904861,93.621559,63.894569,0,3.5843486e-06,79.601524,18.084417,2.3140566,NA,31.314529,54.24926,0,93.133598
"17","Zimbabwe","Total",54.988998,44.687901,0.3231,80.800003,12.9487,6.2512999,64.089996,27.809999,8.1000004,64.051231,58.284046,NA,NA,77.25103,13.199797,46.255085,32.492535,30.995941,NA,7.0988526,15.650121,36.79126,61.245407,1.9633315,36.221397,NA,NA,NA,64.178772
"18","Armenia","Total",97,NA,NA,39,61,0,NA,NA,NA,NA,86.476357,13.437021,89.724838,99.913376,0,0.98946506,99.20195,98.923912,86.476357,0,0.08662346,94.042938,1.0887058,4.8683529,NA,45.41914,11.55283,5.2329164,94.134598
"19","Kuwait","Total",100,0,0,100,0,0,100,0,0,NA,100,0,100,100,0,NA,100,NA,100,0,0,NA,NA,NA,NA,0,0,0,100
"20","Serbia","Total",100,0,0,96,3.8,0.2,71.971489,NA,NA,NA,NA,10.792571,74.729546,99.219475,13.697359,3.2071314,83.733315,96.012344,74.729546,0.016649898,0.76387495,NA,NA,NA,NA,72.841156,11.064335,2.2660844,97.5672
"21","Senegal","Total",31.265011,54.17635,14.55864,45.717899,42.72406,11.55804,31.559999,35.879337,32.560661,80.677856,42.646786,NA,NA,83.271942,2.5940905,10.254657,66.687988,73.017288,NA,0.28079793,16.447258,24.145876,22.159239,53.694885,NA,30.018225,19.402157,0,68.431099
"22","Seychelles","Total",80,NA,NA,NA,NA,NA,100,0,0,96.249016,NA,NA,NA,96.249016,0,1.5937378,95.210419,94.655273,NA,3.7509875,0,NA,NA,NA,100,NA,NA,NA,100
"23","Lao People's Democratic Republic","Total",32.666668,NA,NA,NA,NA,NA,NA,NA,65.986008,NA,80.043159,65.980034,16.081865,82.878418,0.81651735,33.397186,72.531044,49.481232,16.081865,2.8934083,14.228177,49.839157,40.250351,9.9104919,NA,16.405821,57.515415,0,77.236732
"24","Congo","Total",12.3053,27.2586,60.4361,37.383202,45.015526,17.601274,NA,NA,55.716637,NA,NA,27.862947,45.918808,83.682388,10.464631,31.782999,52.375549,51.899391,45.354813,6.4585743,9.8590336,47.963673,34.070415,17.965912,20.172878,NA,NA,NA,53.888836
"25","Estonia","Total",100,0,0,100,0,0,100,0,0,NA,99.71283,6.3798337,93.332993,99.71283,0,2.8148289,96.632599,96.897995,93.332993,0,0.28717315,NA,NA,NA,NA,1.7859182,4.626102,4.6107297,99.845474
"26","Montenegro","Total",100,0,0,100,0,0,NA,NA,NA,NA,NA,3.4451294,93.596924,99.75811,2.7160602,14.878686,95.655533,84.879425,93.596924,0.11733051,0.12455919,NA,NA,NA,97.77388,NA,NA,NA,97.948669
"27","Djibouti","Total",35,NA,NA,NA,NA,18,NA,NA,14.643137,75.632309,NA,NA,NA,90.323067,14.690759,8.6056538,46.016697,81.717415,NA,2.3953338,7.2816,NA,NA,NA,NA,27.164919,34.113018,0,70.061981
"28","Sierra Leone","Total",16.921267,82.727333,0.35139999,NA,NA,25.849709,61.556602,20.743397,17.700001,NA,48.924999,50.887859,10.257901,69.810196,9.0032053,45.279041,16.092264,24.531149,9.9191265,13.700417,16.489391,19.275139,22.333269,58.39159,NA,2.3031583,13.266791,0,49.569801
"29","Togo","Total",30.4398,67.677399,1.8828,58.333302,29.023001,12.6437,NA,NA,56.976604,65.128838,NA,NA,NA,70.904137,5.7752986,45.210732,19.019253,25.693407,NA,13.374508,15.721353,10.474806,11.978769,77.546425,16.132103,NA,NA,NA,42.629623
"30","Libya","Total",42.550774,NA,NA,NA,NA,27.967299,NA,NA,13,98.528946,NA,NA,NA,98.528946,0,58.718422,86.792038,39.810528,NA,0,1.4710526,NA,NA,NA,NA,73.888519,13.279389,2.06319,100
"31","Niger","Total",59.677399,NA,NA,NA,NA,39.299999,NA,NA,81.103951,50.273064,48.697933,NA,NA,65.151459,14.87839,32.649559,17.490978,32.501896,NA,3.7755599,31.072985,NA,NA,NA,NA,3.9618359,9.4106779,0,23.303837
"32","Burundi","Total",84.300003,NA,NA,73.400002,13.117518,13.482482,41.593948,12.521684,45.884365,60.830547,NA,NA,NA,80.346832,19.516281,44.841999,9.6226501,35.504829,NA,4.7733207,14.879849,6.1440992,92.559998,1.2959015,45.821205,NA,NA,NA,57.39616
